ncbiID	fullName	rank	parentID
92000180	Acinetobacter baumannii 2011SDAB1	norank	470
92000181	Acinetobacter baumannii 2011SDAB2	norank	470
92000182	Acinetobacter baumannii 2011SDAB3	norank	470
92000183	Acinetobacter baumannii 2011SHAB1	norank	470
92000184	Acinetobacter baumannii 2011TJAB1	norank	470
92000185	Acinetobacter baumannii 2011ZJAB1	norank	470
92000186	Acinetobacter baumannii 2011ZJAB2	norank	470
92000187	Acinetobacter baumannii 2011ZJAB3	norank	470
92000188	Acinetobacter baumannii 2011ZJAB4	norank	470
92000189	Acinetobacter baumannii 2012046	norank	470
92000190	Acinetobacter baumannii 2015ZJAB1	norank	470
92000191	Acinetobacter baumannii 2015ZJAB2	norank	470
92000192	Acinetobacter baumannii 2015ZJAB3	norank	470
92000193	Acinetobacter baumannii 2015ZJAB4	norank	470
92000194	Acinetobacter baumannii 2015ZJAB7	norank	470
92000195	Acinetobacter baumannii 2015ZJAB8	norank	470
92000196	Acinetobacter baumannii 20C15	norank	470
92000197	Acinetobacter baumannii 21072	norank	470
92000198	Acinetobacter baumannii 213697	norank	470
92000199	Acinetobacter baumannii 214216	norank	470
92000200	Acinetobacter baumannii 219_ABAU	norank	470
92000201	Acinetobacter baumannii 23037	norank	470
92000202	Acinetobacter baumannii 232184	norank	470
92000203	Acinetobacter baumannii 233846	norank	470
92000204	Acinetobacter baumannii 23671	norank	470
92000205	Acinetobacter baumannii 247	norank	470
92000206	Acinetobacter baumannii 24812_10	norank	470
92000207	Acinetobacter baumannii 24812_2	norank	470
92000208	Acinetobacter baumannii 24812_4	norank	470
92000209	Acinetobacter baumannii 24812_6	norank	470
92000210	Acinetobacter baumannii 24812_7	norank	470
92000211	Acinetobacter baumannii 24812_8	norank	470
92000212	Acinetobacter baumannii 24845_1	norank	470
92000213	Acinetobacter baumannii 24845_10	norank	470
92000214	Acinetobacter baumannii 24845_3	norank	470
92000215	Acinetobacter baumannii 24845_4	norank	470
92000216	Acinetobacter baumannii 24845_5	norank	470
92000217	Acinetobacter baumannii 24845_6	norank	470
92000218	Acinetobacter baumannii 24845_7	norank	470
92000219	Acinetobacter baumannii 24845_8	norank	470
92000220	Acinetobacter baumannii 24845_9	norank	470
92000221	Acinetobacter baumannii 24860_1	norank	470
92000222	Acinetobacter baumannii 24860_10	norank	470
92000223	Acinetobacter baumannii 24860_2	norank	470
92000224	Acinetobacter baumannii 24860_3	norank	470
92000225	Acinetobacter baumannii 24860_4	norank	470
92000226	Acinetobacter baumannii 24860_5	norank	470
92000227	Acinetobacter baumannii 24860_6	norank	470
92000228	Acinetobacter baumannii 24860_7	norank	470
92000229	Acinetobacter baumannii 24860_8	norank	470
92000230	Acinetobacter baumannii 24860_9	norank	470
92000231	Acinetobacter baumannii 24975_1	norank	470
92000232	Acinetobacter baumannii 24975_10	norank	470
92000233	Acinetobacter baumannii 24975_4	norank	470
92000234	Acinetobacter baumannii 24975_5	norank	470
92000235	Acinetobacter baumannii 24975_7	norank	470
92000236	Acinetobacter baumannii 24975_9	norank	470
92000237	Acinetobacter baumannii 25253_1	norank	470
92000238	Acinetobacter baumannii 25253_10	norank	470
92000239	Acinetobacter baumannii 25253_3	norank	470
92000240	Acinetobacter baumannii 25253_4	norank	470
92000241	Acinetobacter baumannii 25253_5	norank	470
92000242	Acinetobacter baumannii 25253_6	norank	470
92000243	Acinetobacter baumannii 25253_7	norank	470
92000244	Acinetobacter baumannii 25253_8	norank	470
92000245	Acinetobacter baumannii 25307_1	norank	470
92000246	Acinetobacter baumannii 25307_2	norank	470
92000247	Acinetobacter baumannii 25307_3	norank	470
92000248	Acinetobacter baumannii 25307_4	norank	470
92000249	Acinetobacter baumannii 25307_5	norank	470
92000250	Acinetobacter baumannii 25307_6	norank	470
92000251	Acinetobacter baumannii 25307_8	norank	470
92000252	Acinetobacter baumannii 25442_1	norank	470
92000253	Acinetobacter baumannii 25442_5	norank	470
92000254	Acinetobacter baumannii 25442_7	norank	470
92000255	Acinetobacter baumannii 25442_9	norank	470
92000256	Acinetobacter baumannii 25493_1	norank	470
92000257	Acinetobacter baumannii 25493_10	norank	470
92000258	Acinetobacter baumannii 25493_2	norank	470
92000259	Acinetobacter baumannii 25493_3	norank	470
92000260	Acinetobacter baumannii 25493_4	norank	470
92000261	Acinetobacter baumannii 25493_5	norank	470
92000262	Acinetobacter baumannii 25493_6	norank	470
92000263	Acinetobacter baumannii 25493_8	norank	470
92000264	Acinetobacter baumannii 25493_9	norank	470
92000265	Acinetobacter baumannii 25561_1	norank	470
92000266	Acinetobacter baumannii 25561_10	norank	470
92000267	Acinetobacter baumannii 25561_2	norank	470
92000268	Acinetobacter baumannii 25561_7	norank	470
92000269	Acinetobacter baumannii 25569_1	norank	470
92000270	Acinetobacter baumannii 25569_10	norank	470
92000271	Acinetobacter baumannii 25569_2	norank	470
92000272	Acinetobacter baumannii 25569_3	norank	470
92000273	Acinetobacter baumannii 25569_4	norank	470
92000274	Acinetobacter baumannii 25569_5	norank	470
92000275	Acinetobacter baumannii 25569_6	norank	470
92000276	Acinetobacter baumannii 25569_7	norank	470
92000277	Acinetobacter baumannii 25569_8	norank	470
92000278	Acinetobacter baumannii 25569_9	norank	470
92000279	Acinetobacter baumannii 25681_2	norank	470
92000280	Acinetobacter baumannii 25681_3	norank	470
92000281	Acinetobacter baumannii 25681_5	norank	470
92000282	Acinetobacter baumannii 25681_6	norank	470
92000283	Acinetobacter baumannii 25681_8	norank	470
92000284	Acinetobacter baumannii 25681_9	norank	470
92000285	Acinetobacter baumannii 25691_1	norank	470
92000286	Acinetobacter baumannii 25691_10	norank	470
92000287	Acinetobacter baumannii 25691_2	norank	470
92000288	Acinetobacter baumannii 25691_5	norank	470
92000289	Acinetobacter baumannii 25691_6	norank	470
92000290	Acinetobacter baumannii 25691_7	norank	470
92000291	Acinetobacter baumannii 25691_8	norank	470
92000292	Acinetobacter baumannii 25691_9	norank	470
92000293	Acinetobacter baumannii 25750_1	norank	470
92000294	Acinetobacter baumannii 25750_6	norank	470
92000295	Acinetobacter baumannii 25750_7	norank	470
92000296	Acinetobacter baumannii 25750_8	norank	470
92000297	Acinetobacter baumannii 25766_1	norank	470
