ncbiID	fullName	rank	parentID
92000171	Acinetobacter baumannii 92000171	norank	470
92000172	Acinetobacter baumannii 92000172	norank	470
92000173	Acinetobacter baumannii 92000173	norank	470
92000174	Acinetobacter baumannii 92000174	norank	470
92000175	Acinetobacter baumannii 92000175	norank	470
92000176	Acinetobacter baumannii 92000176	norank	470
92000177	Acinetobacter baumannii 92000177	norank	470
92000178	Acinetobacter baumannii 92000178	norank	470
92000179	Acinetobacter baumannii 92000179	norank	470
92000180	Acinetobacter baumannii 92000180	norank	470
92000181	Acinetobacter baumannii 92000181	norank	470
92000182	Acinetobacter baumannii 92000182	norank	470
92000183	Acinetobacter baumannii 92000183	norank	470
92000184	Acinetobacter baumannii 92000184	norank	470
92000185	Acinetobacter baumannii 92000185	norank	470
92000186	Acinetobacter baumannii 92000186	norank	470
92000187	Acinetobacter baumannii 92000187	norank	470
92000188	Acinetobacter baumannii 92000188	norank	470
92000189	Acinetobacter baumannii 92000189	norank	470
92000190	Acinetobacter baumannii 92000190	norank	470
92000191	Acinetobacter baumannii 92000191	norank	470
92000192	Acinetobacter baumannii 92000192	norank	470
92000193	Acinetobacter baumannii 92000193	norank	470
92000194	Acinetobacter baumannii 92000194	norank	470
92000195	Acinetobacter baumannii 92000195	norank	470
92000196	Acinetobacter baumannii 92000196	norank	470
92000197	Acinetobacter baumannii 92000197	norank	470
92000198	Acinetobacter baumannii 92000198	norank	470
92000199	Acinetobacter baumannii 92000199	norank	470
92000200	Acinetobacter baumannii 92000200	norank	470
92000201	Acinetobacter baumannii 92000201	norank	470
92000202	Acinetobacter baumannii 92000202	norank	470
92000203	Acinetobacter baumannii 92000203	norank	470
92000204	Acinetobacter baumannii 92000204	norank	470
92000205	Acinetobacter baumannii 92000205	norank	470
92000206	Acinetobacter baumannii 92000206	norank	470
92000207	Acinetobacter baumannii 92000207	norank	470
92000208	Acinetobacter baumannii 92000208	norank	470
92000209	Acinetobacter baumannii 92000209	norank	470
92000210	Acinetobacter baumannii 92000210	norank	470
92000211	Acinetobacter baumannii 92000211	norank	470
92000212	Acinetobacter baumannii 92000212	norank	470
92000213	Acinetobacter baumannii 92000213	norank	470
92000214	Acinetobacter baumannii 92000214	norank	470
92000215	Acinetobacter baumannii 92000215	norank	470
92000216	Acinetobacter baumannii 92000216	norank	470
92000217	Acinetobacter baumannii 92000217	norank	470
92000218	Acinetobacter baumannii 92000218	norank	470
92000219	Acinetobacter baumannii 92000219	norank	470
92000220	Acinetobacter baumannii 92000220	norank	470
92000221	Acinetobacter baumannii 92000221	norank	470
92000222	Acinetobacter baumannii 92000222	norank	470
92000223	Acinetobacter baumannii 92000223	norank	470
92000224	Acinetobacter baumannii 92000224	norank	470
92000225	Acinetobacter baumannii 92000225	norank	470
92000226	Acinetobacter baumannii 92000226	norank	470
92000227	Acinetobacter baumannii 92000227	norank	470
92000228	Acinetobacter baumannii 92000228	norank	470
92000229	Acinetobacter baumannii 92000229	norank	470
92000230	Acinetobacter baumannii 92000230	norank	470
92000231	Acinetobacter baumannii 92000231	norank	470
92000232	Acinetobacter baumannii 92000232	norank	470
92000233	Acinetobacter baumannii 92000233	norank	470
92000234	Acinetobacter baumannii 92000234	norank	470
92000235	Acinetobacter baumannii 92000235	norank	470
92000236	Acinetobacter baumannii 92000236	norank	470
92000237	Acinetobacter baumannii 92000237	norank	470
92000238	Acinetobacter baumannii 92000238	norank	470
92000239	Acinetobacter baumannii 92000239	norank	470
92000240	Acinetobacter baumannii 92000240	norank	470
92000241	Acinetobacter baumannii 92000241	norank	470
92000242	Acinetobacter baumannii 92000242	norank	470
92000243	Acinetobacter baumannii 92000243	norank	470
